;mean;std
23;0.054258975183405625;0.2584044856017496
22;0.13657018241374652;0.21258278204471048
21;0.2372688792199942;0.20918148298970807
20;0.34730924924176765;0.19873910328827304
19;0.27606916183221053;0.19584554200110632
18;0.2202026821447843;0.21555796047013587
17;0.19791177462640108;0.21892492079517253
16;0.06512986459049258;0.2519352591575793
15;0.06503925896233337;0.2590433750997564
14;0.06855858718424065;0.22796161658605768
13;0.12024939832132132;0.22290494350206744
12;0.28299465543790464;0.21525935613345024
11;0.26261337097449045;0.1963948684633071
10;0.21031614669368892;0.21074109756866496
9;0.28383893609009014;0.20358837994192708
8;0.13744904517771409;0.24467441893190228
7;0.1734513724894958;0.22363573208597076
6;0.15407929262017883;0.2681085668542485
5;0.2267952857856894;0.23258326734984672
4;0.2488431234647513;0.22845511400565757
3;0.4284156600597363;0.1709288573760369
2;0.023196612303121134;0.27969842190878513
1;-0.18144323862284228;0.2943595847627516
0;0.6417020767075756;0.14173187789389508
