;mean;std
23;0.024297276924082074;0.24553475169600264
22;0.01811201913396698;0.2519421212007575
21;0.2007800786709619;0.2156750238399907
20;0.28706199034695523;0.1932363964921688
19;0.2963640919160678;0.19385052690112664
18;0.2121079462698314;0.2157391972417002
17;0.2056334095797446;0.21103187197639528
16;0.049342977338656537;0.2409889985784444
15;0.05205882885733309;0.22361197554115766
14;0.06630289396484824;0.21752571110032204
13;0.17640593484935285;0.21406185159216629
12;0.3054969921998724;0.15611172031035805
11;0.2598430828096815;0.16434868993112525
10;0.19469101575248965;0.19716590500547557
9;0.23646604651220862;0.11528636887358991
8;0.12886608604952962;0.15149999205250872
7;0.2008524056453226;0.16345655160551645
6;0.2053502153904869;0.18890939296817277
5;0.28389546598707144;0.15034272191380996
4;0.29612352641909206;0.13932045994883288
3;0.3901187014741165;0.1147313345978462
2;0.0541222623365861;0.2994252321875986
1;-0.19877198588050626;0.28658101638731553
0;0.6126960515508695;0.08569006898974818
