;mean;std
31;0.27266775025286727;0.2164002288031359
30;0.4056491987738106;0.16662708461713804
29;0.28404578032136696;0.18747037480843892
28;0.29491870082498994;0.19720636491414223
27;0.3699352809310371;0.18000264409966038
26;0.3895708969228066;0.17478637428107213
25;0.3227364029261065;0.19845586328978318
24;0.3657314393122152;0.16686054692624822
23;0.4563930596967691;0.1684126519374105
22;0.3581246678656672;0.16021732502207164
21;0.40453122961907884;0.16033201551062842
20;0.38125846328305063;0.16568718677133173
19;0.43257615271035454;0.1640024163533445
18;0.4087618411513204;0.18548128787859208
17;0.39256837174843046;0.17055680670687007
16;0.3995979442388632;0.18417613199572866
15;0.3837179571948345;0.1737574091981979
14;0.373021065231403;0.16596090029315805
13;0.3501823274381364;0.18708263736215952
12;0.3620866398193005;0.16959438870654545
11;0.32981891218524817;0.1827752938447842
10;0.333671730723192;0.1860748961015584
9;0.3931618605584496;0.16984446077811077
8;0.34662108789245283;0.1823407912744323
7;0.32471524661444295;0.1995631612974376
6;0.2677314848691367;0.19360747851611798
5;0.34897710008106403;0.1843787492130856
4;0.4306137472727122;0.1698789553050301
3;0.2701695428252404;0.20382143522371393
2;0.4031739362527044;0.19553268952088695
1;-0.050028968608144764;0.2502965312201858
0;0.01109440522880738;0.2494988031143497
