;mean;std
31;0.30588902003048823;0.23528589804945985
30;0.4266195982832874;0.1742564704566821
29;0.3164722631300318;0.20166613258102628
28;0.3209032984075499;0.21007357769767965
27;0.39324983531885127;0.1810639370952493
26;0.4044721247958789;0.18528324297953216
25;0.35268952421618543;0.19595018003835013
24;0.39401152854859484;0.18244969146169443
23;0.4791227235286646;0.1790204285929495
22;0.38477770086814805;0.16691061579463393
21;0.42689930271454374;0.1751060974724122
20;0.3918678425312488;0.17861980739690758
19;0.46620533429792266;0.16998556236397483
18;0.43416548483280826;0.18829069368842058
17;0.4233810683084124;0.17818695990833627
16;0.418193998168827;0.184264126290276
15;0.4165162266948512;0.17769966447468102
14;0.3942724782340641;0.17543433678225365
13;0.35847395024275447;0.20363733086701127
12;0.38873691729811144;0.18450610864216205
11;0.3496424760208888;0.21086646089402014
10;0.3382105261380785;0.19863077489509806
9;0.41186366031752963;0.17363670201852838
8;0.364751486857432;0.19194620649306732
7;0.3312029492335944;0.21540908534075334
6;0.2832998035848793;0.21188227917513464
5;0.3728588611664594;0.19421388952103377
4;0.45601979102969314;0.18165978889392997
3;0.30004279820597984;0.22039828126617553
2;0.4458209042428063;0.20447284025998616
1;-0.002988638300147226;0.27271945926795754
0;0.05705589904743519;0.27551932201397256
