;mean;std
31;0.2597187064295149;0.17257816359631364
30;0.39449548913164556;0.13748389980631892
29;0.26601563759574715;0.14737112393142485
28;0.26899090455921537;0.16382072032342668
27;0.35731845104379334;0.15668982883031218
26;0.37920578408471367;0.14497751375326193
25;0.301912547091463;0.18909830446250456
24;0.3492567454103174;0.12602713522961917
23;0.4486183825400618;0.1415727852573149
22;0.3426614359368218;0.13359665048574568
21;0.3939242992691162;0.13689288185065676
20;0.38083333299132377;0.12768649508950472
19;0.40904888591854804;0.1447088866602596
18;0.3972449190931288;0.16056265752618232
17;0.37704518483270033;0.14508112955693458
16;0.4008179951352102;0.1605741447653441
15;0.3720925782322231;0.13543388923365085
14;0.3702952056998874;0.1298321153451109
13;0.35799328659667123;0.14083559814807453
12;0.35701227442409095;0.13349178761058225
11;0.32556655609070617;0.13498935670149428
10;0.34408493864589673;0.15399422153786418
9;0.3942428507384472;0.1410291016639949
8;0.3499203667834788;0.13790313180118025
7;0.33240593581055994;0.14591714602497927
6;0.27048995802909315;0.14112804992227643
5;0.34555409947254745;0.13419300392147548
4;0.4231612892804956;0.1331408537608644
3;0.25842805275550995;0.1403711457513983
2;0.3832775314270131;0.1465951013500119
1;-0.075149213759793;0.2027446893380135
0;-0.011028753393634166;0.1952907560044438
