;mean;std
31;0.2798686780362987;0.26440712051898174
30;0.4108810963801127;0.18762319228375393
29;0.30376140824365866;0.2074973234845473
28;0.26408270974525355;0.24283267740990094
27;0.3732646410561909;0.19179455139232443
26;0.3768304464303295;0.2081985734950587
25;0.34140776730018074;0.2172475339503299
24;0.3963264224606042;0.19112666398715975
23;0.4898889986489593;0.18943703270792486
22;0.37438214630214944;0.17548761154630382
21;0.4347786330321138;0.17337011722157653
20;0.3804919994896468;0.1922267658235701
19;0.45414670851928585;0.1635513427826093
18;0.454137136905864;0.17483517701548634
17;0.4161806775805637;0.18021653869480492
16;0.38506068583967723;0.20926998036144756
15;0.3965266035653149;0.20575493013468057
14;0.3534186150457023;0.19914502877650922
13;0.3342709559417936;0.21557741138295844
12;0.3505517328963966;0.19823150851637616
11;0.3375833867551101;0.21226516785287922
10;0.3155242543765728;0.19992644459914202
9;0.3879470198041067;0.1910651411206824
8;0.32566364719343494;0.21739958171894383
7;0.2996160573104252;0.23848597534116564
6;0.25927978883714337;0.23761142671020372
5;0.3292870451692249;0.23365926807517434
4;0.4090287234063468;0.20885187017378146
3;0.23732359783379386;0.26000362679233335
2;0.4077233623069572;0.23900183212599554
1;-0.027233807154063316;0.2959385034917413
0;0.02151401564184698;0.3043481309106772
