;mean;std
31;0.28991558481539864;0.15280780953216772
30;0.4426694465445305;0.14586105420586667
29;0.32730791970984596;0.1737086161073597
28;0.26799587905355104;0.20854681027688005
27;0.39188872313456813;0.19666703246119802
26;0.3940334421987698;0.17973627735896294
25;0.3492207850485471;0.2063795016608626
24;0.38676411388959275;0.1719660149612953
23;0.5136138553149427;0.13635366472426125
22;0.3957702453362341;0.15504620259858182
21;0.4363320761477709;0.16167396279184523
20;0.3984175806592719;0.15982185486232656
19;0.4536723454589943;0.1475163003817858
18;0.47621590450048823;0.15581018480292497
17;0.42139587796716976;0.1274825667454602
16;0.4495185400969229;0.15889006382826965
15;0.4176845265838523;0.1665086174762916
14;0.37668103660686225;0.13993712716055248
13;0.38552103526594395;0.17168934671693514
12;0.3922287730074786;0.1852270913975041
11;0.38748309550669435;0.16410228374739705
10;0.3679257491721233;0.1820601920279046
9;0.4417137445768505;0.16985038876469274
8;0.37425881994124366;0.17644981731516848
7;0.36121348552855487;0.15871915847986223
6;0.3187690322508125;0.17899307941565878
5;0.3750381875377543;0.1721345027919442
4;0.4535645518325513;0.16665371911297372
3;0.2753660488678373;0.17948893383725553
2;0.4222265654175415;0.14904840778272477
1;-0.029295809759988092;0.2500146771246476
0;0.04830958636594144;0.22964240253206508
