;mean;std
31;0.3355366149172147;0.1957652120712901
30;0.2508360450361708;0.2010778800584123
29;0.21387647558145254;0.1926480855649428
28;0.28218320487997717;0.1797450829661268
27;0.2722132972740252;0.2084050690528919
26;0.33289302279899147;0.16817823706142365
25;0.318345828392441;0.19377716609209714
24;0.3137490960772416;0.19946706530738656
23;0.2726495776523515;0.22163401150942247
22;0.278738489510408;0.19968765464355673
21;0.2551400419771175;0.2115495137106299
20;0.30809368020479194;0.19211017021499335
19;0.33600353532183025;0.20927269489951766
18;0.294306235264417;0.1954400044666123
17;0.3426534845677311;0.18592045477553343
16;0.3400565413717848;0.20264842751529996
15;0.3076998359169874;0.20263470203074505
14;0.29274368147623725;0.20962370470159866
13;0.2563179270277413;0.22223471350483212
12;0.3028852036542576;0.19818846291963857
11;0.22701877468744222;0.21283325757305754
10;0.28852575752532555;0.20491254100383247
9;0.2866619653199895;0.20431661139283308
8;0.30623490456879077;0.19614030243087627
7;0.30651339495227276;0.20639718241262522
6;0.2739755335663086;0.21094000045001876
5;0.23754828114350418;0.23363626455123224
4;0.3240086116822974;0.211508609887368
3;0.36039129553737;0.21315338707567816
2;0.21883065582152403;0.23372146419724704
1;0.2539434180644558;0.23871452801436624
0;-0.24842656572643568;0.2470209561304196
