;mean;std
31;0.3595239826329856;0.2066785322351913
30;0.28030348643395625;0.21510956968662448
29;0.24460100158631573;0.2150009225505708
28;0.29842423512125615;0.20494321573921528
27;0.28981536595800567;0.23029857444940025
26;0.33850105106707523;0.19903248869802
25;0.33616458694458706;0.20067220771447478
24;0.3270184455234343;0.22306760660085997
23;0.28839332295932474;0.2269522684067317
22;0.28825633299018216;0.22606427811737523
21;0.2683403556112947;0.23357690775958984
20;0.3143376522859942;0.21376377997651938
19;0.36457999370913396;0.20074819509955263
18;0.3187978024014948;0.18957185667654086
17;0.33115372585076136;0.20985620409344397
16;0.35691164903583317;0.2064526173799552
15;0.3231481565767928;0.2155313041008215
14;0.3118084977635693;0.21078156057332414
13;0.2702747042386742;0.21878113015709497
12;0.3230832522067264;0.2106304635946539
11;0.24098457631034623;0.23232149861381282
10;0.2985021083023394;0.2182993361409246
9;0.29156826112471773;0.23016862626141477
8;0.3064317610766632;0.22155896190610885
7;0.3053876847585233;0.23402262736198956
6;0.2690215775732502;0.2420024489134209
5;0.24227626439011618;0.2508011103989138
4;0.3276321406226397;0.23517127847344474
3;0.369629841311006;0.24147476247092625
2;0.24191516299380428;0.25102344044831554
1;0.28285151656331364;0.250088772171188
0;-0.2234837698296966;0.2937882062515395
