;mean;std
31;0.39286471301374054;0.19602551079236416
30;0.29802015716374786;0.20940365315920045
29;0.26323735488867434;0.22347543374817122
28;0.3199627469171889;0.202370036432303
27;0.31500290203535614;0.22544087340890873
26;0.3698542518363594;0.1856865129309612
25;0.36133115009645733;0.1959108284542056
24;0.349701938891693;0.21801302449093657
23;0.3129586521025733;0.21492919843507438
22;0.3112014079708652;0.2209966959238969
21;0.30050593564596434;0.22036697586295048
20;0.3317952639113468;0.21863882551033756
19;0.38602533440541603;0.2039882038927562
18;0.3429012606838054;0.2051366046521761
17;0.35698297244283833;0.20451534360047918
16;0.37812804793155946;0.2135233486574891
15;0.34537760620889485;0.2149492280042509
14;0.33221107758012164;0.21286509378246243
13;0.2871391455190593;0.2165531014708988
12;0.3449345894689582;0.21793758563077612
11;0.2479973627092543;0.2337657676052362
10;0.3153062043103591;0.21462641973582314
9;0.3118449751431648;0.22517193743559846
8;0.33171320257803233;0.21320088314558233
7;0.3241558852280388;0.2298946034627898
6;0.2838112834516067;0.22776207593161213
5;0.2554015886247091;0.25877068678559084
4;0.3526109537876671;0.22720017392466588
3;0.39591206608398327;0.2393547059192847
2;0.2454684783933411;0.25529549644563293
1;0.3035283891557671;0.26557554488933977
0;-0.23235756406020774;0.31382274927140646
