;mean;std
31;0.39041435792028734;0.19174283214287435
30;0.3122600568602185;0.1919105247194842
29;0.27336709562535233;0.20901229793413742
28;0.3317921502870923;0.1871632398791037
27;0.3292960375293376;0.20104857971845572
26;0.38428581346477614;0.16863253706025824
25;0.3744125849976371;0.17044539409955592
24;0.3622131556865456;0.19508077483391706
23;0.3281930402925567;0.19898136806543734
22;0.3330236288073677;0.1916619480209254
21;0.3193403636255975;0.19789901020196046
20;0.3507151276417869;0.19426708765174053
19;0.4033916130349866;0.17990028371883726
18;0.35890815282623406;0.18432769442855454
17;0.37622633838103314;0.1850514090893802
16;0.3964896077784869;0.17715236543340915
15;0.36382842519677466;0.18924270228629117
14;0.34850296477552545;0.18580102603840085
13;0.3073373796663977;0.19379606469983962
12;0.3604391726991183;0.1947735632402498
11;0.26722726082549064;0.21598668707300114
10;0.3345146314619606;0.19378222131002756
9;0.3350821094446879;0.19968327218418755
8;0.3530320611107362;0.18242761061136875
7;0.34824971486346;0.2025979990232463
6;0.3132543370989059;0.2023269579367977
5;0.28314165805198727;0.22405492625708368
4;0.37783526594624234;0.19492427028106277
3;0.4283298360354664;0.2103168075090578
2;0.2756061062455766;0.2217661685457723
1;0.3258290931311053;0.2345154488598192
0;-0.21290395710246257;0.29475378666133006
