;mean;std
31;0.31320354842322107;0.182209878615177
30;0.22340084097616367;0.18284996792361558
29;0.18527088240451095;0.16411100297923079
28;0.2670622456898208;0.15102700704219046
27;0.2558251643613538;0.18420986282169444
26;0.3276717551011204;0.13296144094796233
25;0.30175594974044284;0.18559789530847706
24;0.30139487417906213;0.17374185235928
23;0.2579916078837902;0.21553385208123885
22;0.26987704902923904;0.171046396675902
21;0.24285009480046968;0.18791262034102033
20;0.3022803268878106;0.16927404028426576
19;0.30939786716813367;0.21349725201231784
18;0.27150374172299974;0.19804510873367645
17;0.35336015647663405;0.15971465973271431
16;0.32436385492594666;0.19775402827312366
15;0.29331691668199616;0.1887081533213477
14;0.274993680105273;0.20696723426553332
13;0.24332368617618305;0.2246243630985235
12;0.28408012396747623;0.18387354185041377
11;0.21401613179715231;0.19201652709906197
10;0.2792374309398299;0.1911425721409956
9;0.2820940347431736;0.17676064023467314
8;0.306051624371806;0.16907342963123936
7;0.30756146996024625;0.17683273055420043
6;0.2785878374219148;0.17706600534838388
5;0.2331463657070033;0.21634206868060224
4;0.32063498128956514;0.1867393601458215
3;0.35178989085157086;0.18246424918335802
2;0.19733818362664243;0.21414720496333925
1;0.22702898153103637;0.22428967432616326
0;-0.27164916880271006;0.19066451210211352
