;mean;std
31;0.40284306706782613;0.1756251208952576
30;0.31237658415132624;0.1881795599165284
29;0.2715934008129691;0.19693644844647085
28;0.33946145966446506;0.18980524440067315
27;0.3373946421837151;0.14703850116412623
26;0.4086510746038651;0.17074558045858496
25;0.404887213350128;0.17532606968300332
24;0.3952797857357097;0.17067277642503986
23;0.3650786822083373;0.18062873824368808
22;0.35385073144860124;0.18722900059502867
21;0.33569481644643995;0.18751112485374363
20;0.38010427354898496;0.20067413214902635
19;0.4094073189447618;0.1918141623482572
18;0.37058840548603256;0.18508405496475885
17;0.4374283168397749;0.16847268137601776
16;0.4179987608490681;0.18525150711950727
15;0.3897729030276724;0.16596788422338862
14;0.3580476515890417;0.19565029430652547
13;0.30949933661982615;0.1357047091566972
12;0.3630475705694315;0.1865565025767084
11;0.3034617659534041;0.19047120036032045
10;0.36687052461754505;0.18365850460883015
9;0.370852990142563;0.17802735571448103
8;0.37048379447335056;0.13681941517985016
7;0.40454799361985616;0.17210468212066313
6;0.3706516348005983;0.1775881789391888
5;0.3361892725459596;0.18654987953367644
4;0.4232570600746524;0.15937444339050574
3;0.4550640280925152;0.16345141997657048
2;0.3047028287412995;0.17908556875303672
1;0.3334458630250602;0.18747321046883877
0;-0.2143186143390886;0.2737678008999406
