;mean;std
31;0.3213543090935467;0.19672991516568888
30;0.25486722467927553;0.20115920655540975
29;0.19946719741933963;0.20367395122464788
28;0.2871626966608782;0.1894093003660749
27;0.28477682811183624;0.18993456781644213
26;0.3350345374350962;0.17876685258174954
25;0.33970144765113214;0.1901108731127284
24;0.32732164075108905;0.21182995121182946
23;0.2632792563709428;0.21579948038575922
22;0.30421014620797043;0.2057800918455401
21;0.27512780936403114;0.20657924118700963
20;0.3262980225123125;0.1869315825661538
19;0.35397158969875436;0.2019820094012439
18;0.30726862296651986;0.2042948184506031
17;0.35110967589598535;0.2045808489747431
16;0.36544172562556226;0.20610425461710882
15;0.3290630764536403;0.21127992179005092
14;0.31176593671067937;0.20254800518987431
13;0.2761609345820447;0.2125137916505699
12;0.3333327399546531;0.19942123160421465
11;0.23393589256894856;0.21201591608337658
10;0.31149041074588907;0.19272284516039442
9;0.2988495069298649;0.2001180045091213
8;0.3190659983683764;0.20587836842504906
7;0.3234763653034212;0.19169944889659185
6;0.2906634918939823;0.19518482613719604
5;0.245195759666911;0.23133800585694117
4;0.36385866049818044;0.19639416316503985
3;0.396804662223827;0.19693873851878962
2;0.24551736749033212;0.22887222939595797
1;0.25051246734728805;0.23450852760202945
0;-0.2365642053490183;0.25289627123881797
