;mean;std
31;0.3305218700110109;0.21117258784530946
30;0.2722211852593736;0.22019868055574712
29;0.21958530278111021;0.21113283531729715
28;0.28513072916914384;0.22186647508041568
27;0.2866191572710866;0.20769823281511812
26;0.3317544456277431;0.20190267787178529
25;0.33427206994250525;0.20356444968252865
24;0.3262990660813634;0.22518854987193124
23;0.22025395736264464;0.3026255335007246
22;0.3039230840805717;0.21595943438806936
21;0.27836556497172776;0.22244295768911476
20;0.32875819811760265;0.19783521724663902
19;0.3715277483397709;0.18651779976277413
18;0.30937639529763034;0.18542955157629656
17;0.3363034734744946;0.19163010546179532
16;0.37599527393146964;0.18412310486719163
15;0.33553950305391683;0.20905433988893693
14;0.32173936859246255;0.19493729140711485
13;0.28845682485774504;0.20724270187439647
12;0.3340179547227136;0.20006198802352626
11;0.23639589734929642;0.23431139753658853
10;0.3034475167404202;0.2100753342790623
9;0.27596456082132825;0.2346989029963357
8;0.29972316668714255;0.221101128238739
7;0.2986867860779122;0.23061672975743477
6;0.2680661292084772;0.24300934375330702
5;0.2332471718925976;0.25272476805478705
4;0.34044704962087713;0.2255456055840047
3;0.37951131184383446;0.23383785404412136
2;0.2599994322140485;0.24848796507899637
1;0.25924222639046757;0.2558090529719622
0;-0.20785442470811086;0.2910258356101964
