;mean;std
31;0.35778969045511516;0.19907498067510193
30;0.2831806309959188;0.2156563585785731
29;0.23730746085760698;0.21219040142823167
28;0.3003945334374291;0.21493004296372914
27;0.31019175746630645;0.20259639913302108
26;0.35984364858446044;0.1795669288096938
25;0.3566858076590486;0.19682522023459947
24;0.3464625200776219;0.22095465876688525
23;0.23807580910379011;0.29766823502116646
22;0.32557065819129655;0.2065145582048319
21;0.29980505822905235;0.22105434340038155
20;0.34362101741398265;0.19721750098021218
19;0.3911171993160835;0.19358284489544098
18;0.33118857811277114;0.19588187128189233
17;0.3587085297430066;0.18538178662750976
16;0.3973133997206566;0.19412270573643056
15;0.3557269683717656;0.21681671281799925
14;0.34004270263584724;0.20078211421187803
13;0.3028125849029112;0.21644534664747236
12;0.3519451248853511;0.21217263726176994
11;0.24544854473896063;0.23129460781029446
10;0.3169575477895747;0.2054056575803125
9;0.2935067524142464;0.2248655562023852
8;0.3245380510441006;0.2140253008078102
7;0.31573246376536895;0.22634321138283178
6;0.28053903579151823;0.22900134448946294
5;0.24593806751453387;0.2550150370457137
4;0.3632437454852289;0.2206090464635777
3;0.4041121918328373;0.2345224991065306
2;0.26541439882017637;0.2544503678631221
1;0.2833448421006939;0.2663793961620714
0;-0.21808229670470228;0.3122452293381769
