;mean;std
31;0.26100902112419294;0.19984059661713485
30;0.21649895196443414;0.18008743894000728
29;0.14668002916574996;0.18644971899613402
28;0.25535124448019825;0.1627796792483363
27;0.2325408951728415;0.17554319203744437
26;0.29357202422766465;0.15784293631179883
25;0.30105915524082494;0.18991125894087338
24;0.279738294706647;0.2041995365647862
23;0.2468026445233494;0.2260732961761174
22;0.26803889693611327;0.1952398175943924
21;0.2392385663359889;0.18331485542748116
20;0.2961607326410174;0.17714452625933974
19;0.2951374869279967;0.21960422299039636
18;0.2619937587234659;0.22123989947929013
17;0.3231301743176428;0.21630871666717685
16;0.3144052693610156;0.21251480607770679
15;0.2937561633861876;0.20002223091167656
14;0.27567709464214923;0.1899810881443055
13;0.24234728875723105;0.2060081350573498
12;0.3045120975899471;0.19432064735000842
11;0.21770628953341675;0.18378798939325092
10;0.2895839320780454;0.1913415997606872
9;0.2841296513173115;0.19166514846796145
8;0.29688274856771774;0.21720658201939394
7;0.3131434983649797;0.17850500461939847
6;0.28714770994054;0.18167444468743157
5;0.23268275534375868;0.22588986521498503
4;0.3413501854114465;0.19288938940858963
3;0.35804232301584743;0.19203824596699376
2;0.2079058620767616;0.21335675229444767
1;0.19441963128878992;0.2135710663810118
0;-0.2594588910640983;0.19345506552927866
