;mean;std
31;0.28743171265346573;0.18828637448809857
30;0.22850646707412495;0.18275083880437015
29;0.16423660732164252;0.18870960605110687
28;0.27484340035167554;0.16110160996827053
27;0.2611146525059502;0.1740301060228531
26;0.31193639946844665;0.17488309528253243
25;0.3238884228161755;0.18222148332950242
24;0.30950082206776525;0.20133691816215624
23;0.2695031555507057;0.2043087745723218
22;0.28432277298211495;0.20308422258139244
21;0.2521524397310803;0.18925381322033158
20;0.3101697169142058;0.17528571784910243
19;0.31938774626193067;0.20349283577536414
18;0.2849983198993204;0.20938525098082908
17;0.34403488093496554;0.22072627520148494
16;0.3357680980197848;0.21240837382208294
15;0.3042380736333167;0.2028649291668163
14;0.2854392925734541;0.20062723415727304
13;0.2513473291108932;0.20570587100424575
12;0.31600396777779644;0.1850934081771496
11;0.22321721641066142;0.1917170348909413
10;0.3064003176362508;0.17996444753155605
9;0.30382379561682;0.17379276266953972
8;0.31397132863580557;0.19785617961100718
7;0.33068620466643533;0.15217454445556053
6;0.3000897096445523;0.1567086591221219
5;0.2445046454639518;0.20686964828791304
4;0.36443116757920424;0.17078845237704898
3;0.39000110017405887;0.15359448423647087
2;0.22699254521771847;0.20040167848433454
1;0.21994439430101362;0.19543140467422063
0;-0.25636373495492726;0.1867507040034745
