;mean;std
31;0.34414350203693167;0.2036575689885818
30;0.2894481004405177;0.20225898081711186
29;0.21556668133856693;0.15327321759400814
28;0.32909711825074583;0.18895651945254457
27;0.3062347427185516;0.15965311726594197
26;0.3760184693640267;0.18680139527515582
25;0.39313490560276293;0.1939756024620181
24;0.37995485424718706;0.16699725423942136
23;0.34348164049822877;0.19635285178297643
22;0.35973501266626096;0.1816491917620051
21;0.32900474661838924;0.1835975548784082
20;0.3729045524480703;0.21367615342712598
19;0.3930978702462912;0.19491140196256648
18;0.357271895806543;0.21016886934640377
17;0.421577307266314;0.1821555294167171
16;0.41297972384301607;0.1831199458955534
15;0.3882615050871773;0.16778084256057532
14;0.35630700862328835;0.1815673332775638
13;0.3046522314523186;0.1422605006330266
12;0.38980632312101254;0.1741683032919196
11;0.3022923797036448;0.18636664344672477
10;0.3524249167852968;0.14793012040517461
9;0.3718013163821721;0.1840199166294789
8;0.3704145944160158;0.1401472157698437
7;0.40582237104143976;0.1684718951614233
6;0.37443438524590134;0.1808353175568512
5;0.33100949933178603;0.19716498105615013
4;0.43668119790910415;0.17930256776549675
3;0.46200397789455994;0.169183382676474
2;0.31627633241412473;0.18076498519257325
1;0.30405795318289586;0.18487709660018178
0;-0.2001878275973368;0.27304073425682596
