;mean;std
31;0.24187758064501635;0.2770485594694015
30;0.14100165317486876;0.2619644232044642
29;0.21883905531762735;0.28427477573753346
28;0.12243581114484536;0.2807155126917873
27;0.25432782970038825;0.22912787268242654
26;0.219869218593379;0.2853075947216268
25;0.2109437849898972;0.3186304911566433
24;0.23994010346291125;0.2955763793031951
23;0.22937865482575004;0.34475043527295357
22;0.3123869266377362;0.33719994773946593
21;0.2621965034641228;0.3184402757384138
20;0.2671737645309798;0.30921451115594206
19;0.23204448836431116;0.31652435085216163
18;0.25559644465341314;0.32329042326653273
17;0.2729679338578099;0.31816646253044306
16;0.2420476037125559;0.3218313680438229
15;0.20670170522023767;0.3046548761114105
14;0.22951127049628395;0.32219742549563635
13;0.22148925995255325;0.32493395025812544
12;0.1682405304545901;0.32427594239178414
11;0.206803934615766;0.32424652641224466
10;0.19190587916555918;0.3281301609604393
9;0.22698094419024495;0.31266033149992684
8;0.24606596502410766;0.3226671178109583
7;0.3271800072834103;0.23900478006318365
6;0.23034814174099671;0.25935896336638137
5;0.36578744351589915;0.23008357705080998
4;0.1799316890837694;0.3244712815617951
3;0.4348669049673888;0.21732276596738723
2;0.2902115983694805;0.250600805965725
1;0.45906286274325675;0.23016482305558827
0;0.17003817409394914;0.2659627505058477
