;mean;std
31;0.2595467343049646;0.2503016083857122
30;0.15636601919543833;0.2529506656016156
29;0.2351497102073227;0.2715413088294676
28;0.14374357539584928;0.2509885143768998
27;0.2737003441807899;0.19739521401969173
26;0.2330458245049577;0.26869201189708497
25;0.2317754348620076;0.2908764465786112
24;0.26063543006244133;0.2752703674639627
23;0.25864120940972535;0.33287996878872816
22;0.335802316098189;0.323090141525241
21;0.2888173872267975;0.30592064922515955
20;0.28242918200905304;0.29405183875313434
19;0.24854187774678355;0.3010614848477164
18;0.27601032550043164;0.29893006893344043
17;0.2904032556261633;0.30185949282915053
16;0.2668134302912696;0.30317137938409683
15;0.2306564556074291;0.28585914251500016
14;0.24983167761270886;0.3011998597375592
13;0.2461695828440846;0.30585690755263917
12;0.19264196892759622;0.308933325166167
11;0.22743628716457145;0.3070920489660821
10;0.21523007578314635;0.31208443671332936
9;0.24734777422850826;0.29400333407888224
8;0.2677387660525405;0.3015490900147247
7;0.3513197623376174;0.20440738364502467
6;0.25809798323391436;0.223189520167783
5;0.3954567763584407;0.19742725151565918
4;0.20502869575020857;0.30443580521795605
3;0.45741380251381936;0.19871418735640792
2;0.3112221723892869;0.22714691007536178
1;0.4838155725249649;0.19260062624936142
0;0.20438938083423516;0.2429935824400128
