;mean;std
31;0.23656926954820062;0.23525196128792647
30;0.13128918847283697;0.2298275272573674
29;0.24632133906820497;0.20259816090400318
28;0.15559687895132862;0.2249606954352696
27;0.2829371651520668;0.18712162282386255
26;0.25972822854764066;0.14956157053373034
25;0.320630135379114;0.20337539968846655
24;0.2932618251266352;0.2361565598185536
23;0.34238813928413764;0.20784916021882616
22;0.38503677128010116;0.21366462736937963
21;0.35188658963191055;0.18584304859821982
20;0.36143933367116887;0.18735358720224302
19;0.33977987237290513;0.1898236991542678
18;0.32813629587055837;0.21279719452033108
17;0.3493506558873255;0.20111290160737566
16;0.3338878936067115;0.20584211566656524
15;0.28160526606700864;0.21589087867446008
14;0.3149366473346139;0.22018251789057305
13;0.33238379831014486;0.20479490729601055
12;0.302558401553422;0.20127117382459558
11;0.3312374229271086;0.17829004357896291
10;0.32234134189064956;0.18830293692569577
9;0.3072836530379284;0.13702760803810693
8;0.3416268176725996;0.19187180093453543
7;0.3411473333118884;0.14546502513265905
6;0.28033063879622405;0.19122254037228253
5;0.39731792937266003;0.18102526427426724
4;0.29952235236817587;0.19221016286027434
3;0.4713249332262185;0.14814415493541533
2;0.30129167152317493;0.18548834025212832
1;0.48296582850514;0.1604903541935485
0;0.17708263708157693;0.2165318023353432
