;mean;std
31;0.3226287812327523;0.2230257398375469
30;0.2873641687850989;0.19891087436979038
29;0.2972080457511969;0.23457275546491627
28;0.245152011766061;0.21244965479835562
27;0.3240544052942194;0.2096049006780821
26;0.38076222798561415;0.1752974140326227
25;0.3871442571211219;0.19874449588475093
24;0.34197096850711944;0.18629825679901493
23;0.36771758121295356;0.2233745169300694
22;0.41617929488410826;0.2122718773881148
21;0.36579774797211023;0.1971322341312189
20;0.39961003718606253;0.17609990072946033
19;0.32640642889212257;0.20210695162860423
18;0.33665174942241083;0.21302248584172884
17;0.361548316866418;0.188925882237731
16;0.32460068316263946;0.2168426150855938
15;0.2974520203127002;0.21188357884849718
14;0.3181911547593908;0.21389570645924375
13;0.3037277065019256;0.21610094877576355
12;0.27827337137103036;0.22219106945741596
11;0.31412535729524943;0.2257161444054134
10;0.28813100243109957;0.22446562608620216
9;0.2871401944316111;0.22558087710757482
8;0.30570741419931585;0.24375719315876357
7;0.3137267913652743;0.23061903103438056
6;0.2283860343051934;0.248519198751424
5;0.35299519961332304;0.2360688629544731
4;0.26616062027663445;0.26420355408697355
3;0.40696137837053536;0.22283401365367594
2;0.2670578679524882;0.25395469521860803
1;0.4038634206395795;0.22504053127464516
0;0.12031642208977139;0.24692397346779246
