;mean;std
31;0.34229655692617295;0.21693341135120894
30;0.3080270076230797;0.20191655449978846
29;0.3190528922732596;0.22785868666094183
28;0.26313475213283327;0.20120030075211814
27;0.3629355161187074;0.18441788235445736
26;0.4113818873324447;0.1557415773283188
25;0.42106702231762455;0.17602131391150952
24;0.38515188162830893;0.164387011960286
23;0.4184828683568134;0.1972248367597874
22;0.4492439266609524;0.2024979887073486
21;0.4080398019970883;0.17792376254057268
20;0.43436247486637103;0.14642086867101983
19;0.36166973939642055;0.1770307463322063
18;0.37509884836484403;0.1864090986924569
17;0.3976946726517813;0.17244368348653627
16;0.36075662997739016;0.1995741811862777
15;0.3297507696032084;0.19631035660674725
14;0.359656726964055;0.19498046548894224
13;0.34659021970692694;0.19666761845552658
12;0.31171510537299174;0.21251585292817843
11;0.35087713518573166;0.199907664989565
10;0.32885343333596534;0.2038412292610171
9;0.3287754309827967;0.19694611720161828
8;0.3536945424260825;0.2010760463737536
7;0.36158476648929744;0.18749341216758175
6;0.2662836376609778;0.2175766943318615
5;0.40514486130724797;0.20815738988126314
4;0.31935291036784796;0.2321069053086717
3;0.46206730578656363;0.1932584294441278
2;0.29893491380400256;0.22937445068121914
1;0.44438307359249773;0.205393023229014
0;0.16434398858357782;0.25445547352070674
