;mean;std
11;0.28927755084717277;0.19310335506436374
10;0.4471729658872141;0.1990931621377944
9;0.47983634024892424;0.19230215571791565
8;0.29328595763723325;0.21480896005365688
7;0.22015028705459733;0.21266862201993253
6;0.2637844041373004;0.2340037298729516
5;0.31507546432997885;0.21828882566301028
4;0.3981088710673258;0.18478003913050092
3;0.30985671831427897;0.2060087193394605
2;0.26663132532902634;0.20917491550375716
1;0.05660458749309828;0.2282690575134666
0;0.6304002357758307;0.1367406902603239
