;mean;std
11;0.27454675798964334;0.19099503754428906
10;0.4280923010807168;0.181899871740599
9;0.4686958672153454;0.18194637970375235
8;0.31949893923084766;0.20308718355342126
7;0.2520862274443925;0.17893125538319435
6;0.3424028194735875;0.15541498099486423
5;0.3797624586892979;0.1473725501790369
4;0.44693406884923453;0.16844257858410175
3;0.3494103520252352;0.21164722599389935
2;0.3050599107780759;0.21195837593860622
1;0.04559108818731728;0.19144199430576916
0;0.6334227806478564;0.12910363764178756
