;mean;std
23;0.21316476560615458;0.1761050702783907
22;0.0850421916475199;0.24727481159886808
21;0.18788034030734407;0.20047605364772061
20;0.3192091038518132;0.18682240135052425
19;0.28176620002248437;0.17589744894932113
18;0.307254964588798;0.19063745487834705
17;0.24970218528911328;0.18818407903790382
16;0.27357578847756847;0.2075056447756184
15;0.1386835177939198;0.19109858020734835
14;0.2848637241564293;0.18981489790576409
13;0.45985496666562337;0.18202205393985982
12;0.23390261907123325;0.18400786694919566
11;0.10184815343352548;0.2115222115756901
10;-0.10671721670754718;0.2375094171785244
9;-0.07939949787545639;0.24845217370138625
8;-0.029778000784995845;0.23390229909869215
7;0.04942281279618467;0.1970767898689222
6;-0.05826504421214585;0.2397965127270715
5;-0.07001945950604857;0.2249169863451604
4;-0.16677991745891757;0.23694940301622167
3;-0.21094089408582356;0.2435902473526467
2;-0.21569524548285615;0.24308350815302518
1;0.042731807458500796;0.19553009692258969
0;0.6292596110858112;0.115099891079296
