;mean;std
23;0.23461056937819502;0.20400563370811012
22;0.093076263848936;0.2637962044837153
21;0.19174714251518207;0.221012850080437
20;0.33125929297769363;0.1966700798977828
19;0.3077874320388296;0.17325896749627095
18;0.3233908067606456;0.17819020141204134
17;0.2743589101397219;0.1939939462721807
16;0.30094283663259946;0.20434750010804592
15;0.14814800913933637;0.22429387313310092
14;0.3014014314939906;0.21857813637159548
13;0.4895314348805619;0.1662601881917817
12;0.24611079951719417;0.19786253190316008
11;0.09614604702221395;0.23286305911034252
10;-0.09602247963935179;0.27378546732885306
9;-0.09106949573527545;0.2631590989431422
8;-0.02352680946734608;0.2549076389851872
7;0.08957336242242064;0.2574569169202997
6;-0.03669436797089815;0.27687231839302623
5;-0.05058212040170012;0.26556565597793674
4;-0.1784308935490023;0.28136590049758675
3;-0.21416192938616124;0.29317320785866335
2;-0.2209054491965244;0.29734144581931365
1;0.0998227568099528;0.25022450578681893
0;0.68464239348251;0.12352665173060287
