;mean;std
23;0.20260524973623073;0.15837395448466637
22;0.08489120317801004;0.25366688405640764
21;0.19242410334002114;0.19682144258693945
20;0.31582647039586476;0.19280407461750027
19;0.27550803686766223;0.1854322542181466
18;0.3059579545117613;0.1973893523118543
17;0.24548758414449187;0.18283786557643256
16;0.27848291241691714;0.20080010241290402
15;0.13775985038777444;0.17786110240694553
14;0.28434627114592337;0.17268188191898615
13;0.4668131454297758;0.1730034172598644
12;0.25548928217041655;0.16262286897371275
11;0.11966288426817397;0.2030196577071972
10;-0.11620354520204207;0.20273437345541115
9;-0.08438759108648468;0.22808258475048906
8;-0.03711417813924369;0.21906864726660452
7;0.022095891834624206;0.15492802485878776
6;-0.08726735391238614;0.195345690162403
5;-0.10116077667021364;0.19483018837742389
4;-0.17133652033035798;0.2110107506454286
3;-0.2217381112706997;0.19705668362810747
2;-0.2363686158162451;0.19032271038631615
1;-0.006557476444661008;0.15924977826962844
0;0.6171122534737272;0.1107274096951802
