;mean;std
23;0.234588584410345;0.15202893753146926
22;0.10780451663609215;0.2387976513287529
21;0.22041323158837897;0.18699242823606751
20;0.3465231922137446;0.18298252157771158
19;0.30983285406171274;0.1975892150834393
18;0.3486916893647901;0.19854275724254447
17;0.2769850491085814;0.1958308520814389
16;0.3072261317398322;0.2057748046899925
15;0.17305039089912777;0.17139206357557032
14;0.30961295431753777;0.18141307928859973
13;0.5082052983236673;0.16996901448071575
12;0.28081337745780377;0.16123202572309542
11;0.14573278386253208;0.21110170006264836
10;-0.09865189343001429;0.19376209242287418
9;-0.06729107765674106;0.1943400390774
8;-0.026606321690767005;0.19595146251872633
7;0.04014761023213137;0.13835275369532068
6;-0.07783602801891523;0.17382312982978018
5;-0.08102460139047485;0.17501723770403604
4;-0.16180065273364289;0.19799099851693916
3;-0.21443089185937586;0.1861692249385205
2;-0.230016258668585;0.18169012568716258
1;0.007787209701657866;0.15084627151642482
0;0.6565381539322309;0.09250446281156517
