;mean;std
39;0.2848084057739042;0.21430631780580825
38;0.3075343863847136;0.22514334464395425
37;0.3302875627710966;0.20531860505958852
36;0.31776509153685417;0.22108252992585906
35;0.2671433574204808;0.23624823822057986
34;0.2702833550562463;0.2269798647251248
33;0.2778763276308789;0.206881499591024
32;0.28680216846795786;0.2185948020909192
31;0.3010428043892176;0.23283314813183625
30;0.24422018300919607;0.22776028258308678
29;0.21549080433447346;0.23762606620612126
28;0.2099503802585953;0.23675543472792965
27;0.2338179790925095;0.22124767528337097
26;0.2572768708133076;0.24382082721473203
25;0.2968450992419017;0.2338030819203836
24;0.26587371675423666;0.2303748432746908
23;0.20206414867583875;0.2505886457085294
22;0.22080484906009065;0.23100823707522292
21;0.2642565921889094;0.24607023067786937
20;0.23543000496708763;0.21000688714526064
19;0.20842596605531583;0.21237535463441157
18;0.2583877241932844;0.24871259649165645
17;0.2571403086472503;0.22890546720771257
16;0.25709157280890776;0.22347845456864468
15;0.26941110270596524;0.22425966260794641
14;0.2500993032837972;0.21639284629218558
13;0.2886242132726185;0.20603714519397642
12;0.25847169820364607;0.196113756162818
11;0.2737316994782452;0.2091255003845657
10;0.29163206718598733;0.21170938399251932
9;0.277413277028184;0.2226147354390002
8;0.27455678460241345;0.22276922046761174
7;0.28458762697001655;0.23042390212356922
6;0.2976720942526053;0.22260203487943894
5;0.28185874029129393;0.24095052812176984
4;0.27280431945842953;0.23532801352904792
3;0.23303196506903337;0.2512789090840511
2;0.18770723324639396;0.24666825714354798
1;0.2772816284255823;0.21252634053445266
0;0.34983402971370964;0.18379933870327334
