;mean;std
39;0.31587606260197876;0.22084517181174043
38;0.34612907730952036;0.2517029587423847
37;0.370682126295096;0.23036084334073495
36;0.3548302627362656;0.23698537627940666
35;0.2974564643461202;0.2616608336259901
34;0.303151716152809;0.25963706368889367
33;0.31402486980228805;0.24175142101922178
32;0.31007586104880885;0.24185760400889766
31;0.31352124667707026;0.24253394500403888
30;0.28416007942102456;0.24525410984491938
29;0.24378532769736405;0.2691270012726646
28;0.232170451554399;0.2659296609835531
27;0.2450866691315881;0.25723626153873974
26;0.2689907451924614;0.2571836072084462
25;0.3302391961535904;0.2437951445660163
24;0.2743173648628497;0.2622395163641967
23;0.20972677014290836;0.27103948510234066
22;0.23480362938951232;0.26996333658849503
21;0.2886156595543799;0.25779718669636226
20;0.2333976793762038;0.2071900220990044
19;0.20627990485361392;0.21932589658937773
18;0.2859338316168957;0.2706802195344928
17;0.2843603694246451;0.24691835847617502
16;0.2852787986559187;0.24609495127632194
15;0.3031182869219824;0.24476658570439164
14;0.27075694259055555;0.23274476755682572
13;0.3160521961767443;0.22644650557083357
12;0.27310995337609695;0.2044492346812156
11;0.29712046873168174;0.20512644983870257
10;0.32650776222939804;0.22535074169528677
9;0.3259562097634741;0.24108391971359314
8;0.30160346539257915;0.22850767735663852
7;0.3183510724894942;0.23979723853512216
6;0.33121396252263674;0.2266307171147369
5;0.32033749363798936;0.2507004043822957
4;0.3149900267368799;0.2470459455384127
3;0.26816411610125435;0.24344125048400989
2;0.23922206597147572;0.23783406279892835
1;0.3308467535315992;0.22027701268010302
0;0.41493296788004763;0.1912469061536131
