;mean;std
39;0.2558833459684556;0.20382037878765077
38;0.26983606097741586;0.1928374738729755
37;0.2855560251137399;0.1847068978488231
36;0.2832561390408505;0.19906114272544576
35;0.23766622308910754;0.2078494100475011
34;0.23699588035373798;0.19115101706603868
33;0.2424324916228576;0.16386773923445838
32;0.2644423113030532;0.19319891304071246
31;0.28942494432811344;0.22279568691518337
30;0.2047867187079117;0.20649219104404298
29;0.18914762741040286;0.20041090612649046
28;0.18674049276295754;0.20868941398042948
27;0.21953836815131175;0.18773313015729245
26;0.2463708498396126;0.2301495206863524
25;0.2657540434965364;0.21958118063517562
24;0.25801238920483827;0.19578035025562598
23;0.19216310517970026;0.23369895782359965
22;0.20563961127034064;0.19001973090163704
21;0.2381533248443631;0.23796652494134815
20;0.23732217017239327;0.2125784722127001
19;0.2104240230362107;0.20567301335889018
18;0.22729308476936538;0.2311117998751717
17;0.22527772807124707;0.2177706172420898
16;0.22863830627764764;0.19982429581850714
15;0.23607219823715747;0.20098638340700553
14;0.22442052195429033;0.20875637305075656
13;0.2564515529931569;0.1925309960537101
12;0.24484297787067452;0.1869939740292691
11;0.25195594879401123;0.21045747503429993
10;0.24997310581324012;0.20951194194385497
9;0.22466355449424538;0.2058199050743701
8;0.2399749905205084;0.23030505566258505
7;0.24664056196538237;0.22802347733631756
6;0.2602897426302691;0.22439416790156022
5;0.24562628150087376;0.22634290674141067
4;0.22972657300749205;0.22270068223116637
3;0.20032272100455176;0.254031665204772
2;0.13974514760580056;0.2450696042017589
1;0.2274106498786011;0.19205680100717767
0;0.2892246734898777;0.15350097446845284
