text;attention
The;0.020571386
website;0.020918347
mentioned;0.021083623
in;0.020763902
the;0.020869715
image;0.020624042
is;0.02065588
"""Google"".";0.02153017
It;0.021308426
appears;0.02092114
to;0.020652551
be;0.020596525
a;0.020550432
search;0.020566989
engine,;0.02115333
and;0.020815438
it;0.02065358
has;0.020621685
an;0.020609912
interesting;0.02060497
photo;0.020655362
of;0.020700129
a;0.020998219
girl;0.020724138
standing;0.02068023
next;0.020977741
to;0.020923827
a;0.020877596
flower;0.02063728
with;0.020602275
a;0.021266893
blue;0.020678192
sky;0.020616902
behind;0.0210214
her.;0.021378785
There;0.020641668
are;0.020773502
also;0.020695394
words;0.020614576
written;0.020611897
on;0.020989466
the;0.020939505
page;0.020643812
that;0.020722095
mention;0.020844067
Google;0.020725472
as;0.020981066
well.;0.022006428
