;mean;std
31;0.3077959392791244;0.215037217326586
30;0.2355202922947933;0.22195683770378508
29;0.3129638208744484;0.19969568344800673
28;0.30788660201902474;0.22404887016533245
27;0.26316905563146936;0.23731903385304615
26;0.29000708312409745;0.22767990946829486
25;0.2384420795712888;0.2289083520504572
24;0.26463336995325154;0.24164004289967475
23;0.23462252496511596;0.2341591718751296
22;0.2969805409274832;0.22029898903403175
21;0.23512227992391743;0.24566046818529313
20;0.25176667967020033;0.23101866263315723
19;0.24968636113579842;0.22904109748070006
18;0.2566239268461998;0.22919755891688767
17;0.2440428605037956;0.23902923860511535
16;0.2646024345716646;0.2277504670575306
15;0.2688974044005274;0.22409281461691485
14;0.27979494394496707;0.22034136823117983
13;0.293157229605938;0.21122559528849102
12;0.2627271092462904;0.199648854844541
11;0.2940551838510203;0.20535355501650085
10;0.2847639719135931;0.1860661205230027
9;0.2770213365443351;0.21280779182122667
8;0.27704293847977796;0.19866673052584344
7;0.2808332107635333;0.19351917191096296
6;0.31565113846252874;0.22262410895791193
5;0.2860204867094695;0.22667268243863437
4;0.2644726982859395;0.2473030985775223
3;0.3234021262371169;0.20791851818722037
2;0.2553538178266618;0.22187372587406876
1;0.2759560196333071;0.21509229933143845
0;0.33526614248032416;0.2041865986550042
