;mean;std
31;0.33386852914208304;0.2573816009857366
30;0.25313842431254335;0.2693207381799867
29;0.3306735309123478;0.23697145088503077
28;0.33581616779389034;0.2568682092689127
27;0.2883889159698892;0.27054861767055666
26;0.308468458775356;0.2657208790856372
25;0.2681185080241542;0.2767814176824305
24;0.2916421072472139;0.2751438461624252
23;0.2482765858646991;0.268929472637946
22;0.3154102192519837;0.24960565673862994
21;0.2562737543022189;0.2823965081256824
20;0.27925508551656214;0.2602698239529544
19;0.26664441756222546;0.2573157146079091
18;0.2671347510226674;0.26429652023210237
17;0.2660935786865965;0.26122341224822787
16;0.2766767755664725;0.25297500794970945
15;0.2830123635299502;0.24916977856673234
14;0.2952923469366007;0.23756453869635072
13;0.3105286994469453;0.2467403377266407
12;0.25648168450315645;0.21441200396520532
11;0.3129549544812471;0.23295278805216185
10;0.28958691597911734;0.2005821799520462
9;0.29415143255157783;0.2408542961360759
8;0.2677343849581079;0.2076037367005046
7;0.2824397693935146;0.2045941041851356
6;0.3494636465525167;0.2460805972895016
5;0.3151051316354258;0.2563113614376376
4;0.30169891391223785;0.26498576323937667
3;0.3452548609865959;0.2180578188936139
2;0.2790330579854062;0.2409543239390428
1;0.30693949262048964;0.19116295988041354
0;0.36261402401257475;0.17951448383245466
