;mean;std
31;0.21218913953095245;0.18131292662156037
30;0.17512933319663032;0.15281756673334448
29;0.25407463220300247;0.15484137229618064
28;0.2430835170486914;0.18794734569478752
27;0.19050501765117378;0.19522303422840123
26;0.22036086509968728;0.19296123918431404
25;0.14693204810528135;0.14065551030126333
24;0.2203026537448821;0.2079605012853779
23;0.18094670069256946;0.2018436609901288
22;0.258553215063716;0.19510218418112665
21;0.1939163622232971;0.2005562433970471
20;0.21205780488084203;0.19761822565532272
19;0.21572876758259096;0.19650681715535526
18;0.20531303633185563;0.18960195429227697
17;0.2119066591272716;0.20968801738237297
16;0.21464257787418842;0.20013264658184693
15;0.22140962134959086;0.20918699660597864
14;0.23920982041219857;0.20777927662500906
13;0.22599749053408338;0.17922236471474473
12;0.22375623809250084;0.1950213615435767
11;0.23695704929493577;0.18116867995925018
10;0.24314649307527217;0.1933381152086656
9;0.22562923581092204;0.18442285081340695
8;0.23498178449494708;0.20408726856557827
7;0.2335283492758047;0.20380403752943785
6;0.23480818280084592;0.20568347981902316
5;0.20593518801998711;0.1870307544247981
4;0.18143023019469176;0.22044450905361476
3;0.2640077257227292;0.2065865190268936
2;0.1957961585988994;0.190692267315627
1;0.19112881960393363;0.18559532301475104
0;0.25521998579;0.19118732129494248
