;mean;std
31;0.283521459061887;0.16246285101597027
30;0.2180097606408226;0.16655838697753997
29;0.29647547014950765;0.15543472140206083
28;0.28107193970858807;0.18610136844941458
27;0.23968849600604394;0.19865663341208764
26;0.2703984167318628;0.18721814686056693
25;0.21025311793741935;0.16935781721077225
24;0.2394873041968038;0.20238152339435492
23;0.22191012343791786;0.19547167453347064
22;0.27982187490122423;0.18734835010255002
21;0.21542952791653333;0.20367584820926113
20;0.2261740259511738;0.196548887925482
19;0.23094226562295272;0.202387325211126
18;0.24369668742492273;0.1949646364966534
17;0.22194336933631909;0.21662303708309583
16;0.2533608067489124;0.2007943418948905
15;0.2557558907283061;0.19700226207854812
14;0.2653663273665496;0.20193028218023937
13;0.27685208453418175;0.1703299005837415
12;0.2685418150416221;0.18465717492302428
11;0.27645884567805057;0.17396906636311338
10;0.2802736446801739;0.17132789730360617
9;0.2601016653724164;0.1831529576799713
8;0.28570952279305695;0.18955803325139253
7;0.27933744928044724;0.1825925143896796
6;0.28417052748219507;0.1930545998223228
5;0.25735555324061143;0.1934454816370613
4;0.22349868393425076;0.23395409622052382
3;0.30305647664277435;0.19583238650422916
2;0.23330762871334806;0.1999946992934708
1;0.24710933788661998;0.2314946501367717
0;0.3098043217434013;0.22172364785195964
