text;attention
There;0.018493194
are;0.018050993
no;0.018008448
birds;0.018006137
or;0.018021438
clouds;0.018022522
visible;0.018014453
in;0.018013524
the;0.017990919
photo;0.018019818
you;0.018030047
provided.;0.018096047
The;0.018005606
image;0.018006513
shows;0.018036328
a;0.017984154
toy;0.018103207
figure;0.018001046
of;0.01801192
a;0.017983928
surfer;0.018170828
on;0.018005868
a;0.017985784
surfboard;0.01812815
against;0.017989757
a;0.01801579
clear;0.018003894
blue;0.018033873
sky.;0.018091831
If;0.01802414
you're;0.026195973
looking;0.018005626
for;0.018007249
a;0.01800189
photo;0.018000867
with;0.018018065
birds;0.018007725
and;0.018034382
clouds,;0.018081509
you;0.017985184
may;0.017993638
want;0.017993188
to;0.017986935
try;0.017987648
a;0.01799485
different;0.018012049
image;0.018012153
or;0.01801054
specify;0.018009376
another;0.017992582
scene;0.018023398
you'd;0.018251624
like;0.018004443
to;0.017983114
see.;0.018055769
