;mean;std
11;0.19822726839666702;0.2178164999715914
10;0.3807423289512522;0.15675013011960884
9;0.30220416229135566;0.20629059905516783
8;0.28479692326608635;0.18523371185219414
7;0.30703909628797016;0.1851831876974249
6;0.3815634718787896;0.16996477166502683
5;0.39253730801845327;0.15450681907885677
4;0.3910923214788405;0.15657836153840446
3;0.33679611033879875;0.197181503313618
2;0.4673880889267868;0.14175208122121968
1;0.4603335369987351;0.1667507783396803
0;0.5862318252990857;0.13514922962221446
