;mean;std
11;0.2142851198892052;0.22052853482217372
10;0.41782638169443453;0.1757987531701099
9;0.2989781924553358;0.2115820899235986
8;0.28891390113002857;0.23049657048101227
7;0.3150102070155445;0.2012366984875209
6;0.34775739891926305;0.2207085746386172
5;0.3863340840485191;0.18048456689623296
4;0.36381855241877714;0.17576559868991515
3;0.3163666200327037;0.2100410243557968
2;0.46272602290124215;0.1754185842712415
1;0.4740347205167333;0.1815506200309623
0;0.6003458149381072;0.1480236259620062
