;mean;std
11;0.13689914948933463;0.15660727241406303
10;0.3250908681906076;0.16164965005921547
9;0.2603443223425286;0.1735436661724796
8;0.23800982137679555;0.15064023255951123
7;0.2626134377485481;0.17055195154705027
6;0.37873874540147834;0.16880147274854268
5;0.3721521916306206;0.16318746848023596
4;0.38684002955573893;0.16677021968975045
3;0.296578055622906;0.18191084210688718
2;0.44538215279346705;0.13906148969925286
1;0.4321933077107839;0.1800874437572431
0;0.5429088262714037;0.1666153818357595
