;mean;std
11;0.18327685493809692;0.21418128059588126
10;0.34621579708691;0.12728082607955712
9;0.3022919289363958;0.2057123098309809
8;0.28096387491000224;0.12946678352574215
7;0.2996177173347114;0.16853190824084338
6;0.40103620747447993;0.14415123082965695
5;0.39831272343873697;0.12530368668865186
4;0.4129046918559467;0.14049888151547738
3;0.3558166702789562;0.18235856805926776
2;0.4657087044552693;0.11644160878820571
1;0.44757726268887466;0.15056235174191768
0;0.5730912142558588;0.12046957608844795
