;mean;std
23;0.015423390582752468;0.21818922063697876
22;0.06468352794540658;0.1953785895338939
21;0.20366007700296843;0.1828425886039959
20;0.2996375909101155;0.18006989506024315
19;0.2669698939533075;0.1674137356273525
18;0.1975630107611019;0.1985007766543035
17;0.18097093699153508;0.18964577240616293
16;0.03347967536562067;0.21745796908772203
15;0.041774500428475726;0.20986972345657298
14;0.04936557265749397;0.19360690681337595
13;0.13256118044867066;0.19392350076088224
12;0.28356848041636373;0.19486265238316924
11;0.24629863448359265;0.18920523651709115
10;0.1826230597339434;0.17847576121348444
9;0.2467256104981299;0.17781700051901903
8;0.11840630154868326;0.20108822396870804
7;0.17471485096346195;0.1966053653628968
6;0.15856169378859725;0.23883315023594168
5;0.23764927463845495;0.1998300014342808
4;0.2584395462172005;0.19017650307515735
3;0.39543380754194973;0.16054431189437898
2;0.038515514715452955;0.2995246096105078
1;-0.2041009195515478;0.23584085538014296
0;0.6157969844169513;0.13194235241869245
