;mean;std
23;0.03947460663726678;0.2455677686020735
22;0.1297041660349334;0.20578852834750166
21;0.22022306249225;0.20468665787991638
20;0.31847019104378094;0.18312967513346728
19;0.25753793490460597;0.18842597348686888
18;0.19766800507660742;0.20582406996279637
17;0.17588544135465833;0.20850133663319473
16;0.05280012505774696;0.22563079598860739
15;0.05138763248024395;0.22749359428967414
14;0.056372578871616445;0.21665006185574404
13;0.10569014763062373;0.21972833630559802
12;0.2631030002650882;0.2187824951911369
11;0.22895393738072964;0.19235911245494602
10;0.1742320944425002;0.1988073695077735
9;0.24774896794660284;0.1942292163702803
8;0.12343158692260124;0.23806872203650475
7;0.15035462625880314;0.2120442304094467
6;0.13282159089129447;0.24252002329119177
5;0.20099344416186232;0.2427945955825601
4;0.22226500282064943;0.21100285998225257
3;0.39116775725195935;0.17162461234287207
2;0.004144427093656934;0.286972523833571
1;-0.1825666548914046;0.2826364112805744
0;0.5904345625755636;0.15344067178321674
