;mean;std
23;0.029306657611862515;0.28137967138957365
22;0.11933608226861765;0.21631111458481486
21;0.2314458602116366;0.20715042329391667
20;0.3527922524886726;0.20194959747885344
19;0.27318946447255815;0.20120226755859436
18;0.2191671217250034;0.20666789297400462
17;0.19602552076831709;0.2192825220395455
16;0.060402731580645984;0.25313548905825195
15;0.06713925739210581;0.2577072347484539
14;0.07071120829701692;0.22719491973474698
13;0.13158641581747726;0.21147011495387594
12;0.28831470359351574;0.21222793667882758
11;0.26659967428180065;0.1958131374834463
10;0.21119199685030599;0.20555958947754138
9;0.28679264203010396;0.2038967948176671
8;0.13646499478090443;0.2397697140596227
7;0.17917740558075843;0.21579379694289594
6;0.1604144052330884;0.2547595960142172
5;0.23541137745469545;0.21806974766317216
4;0.24852678919563648;0.23324387856504517
3;0.42286979193150737;0.16665421411497128
2;0.012418966525245368;0.27321147402609514
1;-0.1933265774552537;0.2925016409375472
0;0.6446885419721505;0.14543316068440218
