;mean;std
23;-0.02073387783854529;0.16447028245462278
22;-0.0022454262147719862;0.14949049574447124
21;0.17236912321470305;0.14760507591077848
20;0.25525363315306;0.14749589492211818
19;0.25849816179019086;0.13513944127172212
18;0.17648469602457;0.17862100093305447
17;0.16519843298665987;0.1559229064542722
16;0.004012257811429606;0.1744123871545579
15;0.02011420800040134;0.14698387768639118
14;0.031496214305005696;0.15276553111991473
13;0.14402387415344417;0.16151358564998264
12;0.2841027312583774;0.17373148880300876
11;0.2311090522334464;0.18093909453089205
10;0.1568398408403873;0.1370499063237868
9;0.21217182460216696;0.14138974001739
8;0.10067685058372354;0.14729345977707886
7;0.17589119299094771;0.16755574191381198
6;0.16273496384195238;0.20781658653910046
5;0.24775471253585743;0.1628927053619359
4;0.26737414671086;0.14519657573123057
3;0.3647265655426311;0.14357560524271581
2;0.05277794109934811;0.31620387353909124
1;-0.2278530673954243;0.16646299754603477
0;0.5916784502153356;0.11708080671159041
