;mean;std
31;0.24430786914803085;0.2285033394628341
30;0.3739955533148126;0.1843757717308495
29;0.26065325449114884;0.1802918018183686
28;0.2657021463688265;0.18941612034127656
27;0.3361507886461737;0.18786547019213537
26;0.36009019001080295;0.18655447066413416
25;0.3000815065581204;0.20154317265176602
24;0.33341344845739573;0.17393404736977824
23;0.4248743274789416;0.1705721979369744
22;0.3274927065457242;0.16605094269017215
21;0.37019048850673864;0.1727321868526658
20;0.3529077107127501;0.16876471310763252
19;0.40695359823102584;0.15950746140666136
18;0.38121478201641856;0.18400186129657878
17;0.3613828610543957;0.17552094554076875
16;0.37221022309841933;0.18665375964222483
15;0.35927080231567937;0.17421372589112893
14;0.35210659616680334;0.1623206006482852
13;0.3302935679449813;0.18258817430550867
12;0.3400318675187376;0.17304602139378053
11;0.30819228906544094;0.18459155877479508
10;0.3102319738791701;0.18801241401905683
9;0.36570037301809183;0.18181570982586087
8;0.31801675927752154;0.19075484547896313
7;0.30326608677586986;0.1957108252092563
6;0.2436762084942845;0.20384939326884613
5;0.3160847879221426;0.19814196897726566
4;0.39724266376125433;0.19343441654334387
3;0.24413910791606022;0.20507797841479178
2;0.37243067825694665;0.20551670134013383
1;-0.056109105238710065;0.25002065925779626
0;0.00048221076855088044;0.2552774669687029
