text;attention
The;3.4443053e-09
title;1.3974715e-09
of;1.1357204e-09
NaomiKlein's;1.0
book;9.481916e-10
"""The";1.4653506e-09
Shock;1.7012571e-09
"Doctrine""";3.2567944e-09
is;8.569515e-10
"""The";1.7013966e-09
End;1.0972248e-09
of;9.741735e-10
Employment;2.1331341e-09
and;1.0376454e-09
the;9.580794e-10
Rise;1.0217569e-09
of;9.1871033e-10
Disaster;1.4697985e-09
"Capitalism.""";1.9621578e-09
This;9.225807e-10
book;9.38832e-10
explores;1.3584368e-09
how;1.1471173e-09
economic;9.1246555e-10
policies;1.1163375e-09
have;9.805041e-10
become;8.881176e-10
increasingly;1.0782728e-09
harmful;1.3662217e-09
to;9.2345914e-10
human;9.984592e-10
rights,;1.3452252e-09
social;8.3062707e-10
justice,;1.0490222e-09
and;7.7423407e-10
environmental;7.981483e-10
sustainability.;2.0790278e-09
It;1.0357254e-09
argues;9.867667e-10
that;9.00144e-10
the;8.785193e-10
shock;8.372855e-10
doctrine;8.5353247e-10
has;7.7996415e-10
led;8.288388e-10
to;7.9632667e-10
a;8.081083e-10
situation;8.254248e-10
where;8.328718e-10
large-scale;1.4882193e-09
industries;1.0112409e-09
are;7.280653e-10
being;7.2684014e-10
built;8.459005e-10
in;7.528634e-10
developing;7.7955664e-10
countries;7.6972834e-10
with;7.198686e-10
little;7.478214e-10
regard;7.43966e-10
for;7.1019246e-10
local;7.5426193e-10
conditions;7.5062234e-10
or;7.212237e-10
social;7.380272e-10
implications.;7.6976653e-10
