;mean;std
31;0.3968506537288342;0.18367793240855268
30;0.31232040135025646;0.1899875739662211
29;0.272448575097511;0.2028504359026568
28;0.3363635446960886;0.18716081732028111
27;0.3334899577967831;0.17521724802249874
26;0.39869462790522314;0.16654279722221885
25;0.3901940889658913;0.17365899580946856
24;0.3793369462477199;0.18359313227381313
23;0.3472945334275145;0.19059238922358226
22;0.3438090926751493;0.18966499756476354
21;0.3278096338363909;0.1927628310712928
20;0.36593450677230016;0.1981558608844781
19;0.4065068893096916;0.18618944535644785
18;0.36495685509648684;0.18481194814281432
17;0.40792022008288154;0.17928775743260625
16;0.40762827633289506;0.18170984481065958
15;0.37726395835920395;0.1780435356199166
14;0.3534457490182392;0.19102451481262503
13;0.30845696451728033;0.16626996789814175
12;0.36178995016767335;0.1905669954897797
11;0.28599155812387433;0.20397888088158878
10;0.35127036184610255;0.18929911765523091
9;0.354681324250718;0.18649984619793705
8;0.3620695658878043;0.16067274616290775
7;0.37749871579485966;0.18923787707164544
6;0.34297793769442514;0.19207188426899868
5;0.31061274412922296;0.2071915857406011
4;0.40135726647702613;0.17885204447144282
3;0.4465028222640116;0.1771454243518171
2;0.2906740518237188;0.20132513874065813
1;0.32977349182618904;0.21149905000641261
0;-0.21180408586989552;0.2804493095355329
