text;attention
Yes,;0.04468275
there;0.030429294
is;0.02989184
a;0.030187026
purple;0.036588654
umbrella;0.04729977
near;0.036670562
the;0.03271246
green;0.030369902
leaves;0.033782836
in;0.034506038
the;0.028820192
image.;0.06578326
It;0.03163259
appears;0.034419946
to;0.030385396
be;0.029396832
left;0.033866983
behind;0.033937875
by;0.03243415
someone,;0.040300723
possibly;0.028154107
a;0.02823856
pedestrian;0.029710101
who;0.027876949
forgot;0.027876385
it;0.026457831
while;0.027737845
walking;0.026827335
by.;0.029021822
