;mean;std
31;0.3515009731556331;0.19927787574240774
30;0.2892479885946707;0.2056310350719549
29;0.22852791032738048;0.18056752896631492
28;0.32227296070336536;0.19104750671691323
27;0.3123287582936863;0.17281395246670114
26;0.37391764215381323;0.17870794019525876
25;0.38193114551793717;0.18501683089027907
24;0.3704340776886043;0.18660792651447108
23;0.30920852400984905;0.20502347330610435
22;0.3506593546872561;0.18334120232508777
21;0.3244389024079686;0.18882878206576995
20;0.3682383124022068;0.19501978014684918
19;0.40140470863938943;0.17945461708945132
18;0.35265422261404483;0.19431658389825918
17;0.39906774310728055;0.17640387339672448
16;0.4132937808391356;0.17243708612610054
15;0.3810587120296653;0.17924999900936772
14;0.35564812750550245;0.179252184298564
13;0.3112173001198403;0.1676779855046083
12;0.37817397798217983;0.18228761604712368
11;0.2837252380076948;0.2009388008467687
10;0.3437989698056603;0.1658911918384657
9;0.3468601408143653;0.19069773157107006
8;0.359673138415284;0.16262854755441739
7;0.3736510094590527;0.18748250703733982
6;0.34295840938584193;0.19518087111985286
5;0.30222592977360596;0.212722251039648
4;0.41313054951554523;0.18454893710104397
3;0.45282717607411055;0.17911029637742046
2;0.30509327137631964;0.2022648657348092
1;0.3049101912854034;0.21083099289586169
0;-0.19789904701141076;0.2792770226539586
