text;attention
The;0.024736635
image;0.022976704
shows;0.027624821
a;0.024483671
street;0.026421586
scene;0.029038198
with;0.030194035
traffic;0.023843888
signs;0.028415177
in;0.024478057
the;0.021754012
foreground,;0.031160384
but;0.025389362
there;0.022509363
is;0.021962006
no;0.024917979
visible;0.023407133
purple;0.025066016
umbrella;0.029738266
near;0.023886979
any;0.022666814
green;0.021538395
leaves.;0.03644162
It;0.022568539
might;0.022895508
not;0.02207793
be;0.022523286
included;0.025225822
in;0.023189157
the;0.023293732
frame;0.024448235
of;0.021436457
this;0.023245094
picture;0.021492096
or;0.023416243
it;0.021794943
might;0.021378353
be;0.021693116
obscured;0.023158945
from;0.020970205
view.;0.022541212
