;mean;std
31;0.1993056683330045;0.25682572258026914
30;0.09526870808131009;0.2353747014933897
29;0.19344407310596715;0.24335743743669
28;0.10211215396170739;0.24360727376090244
27;0.2243232954369095;0.21290990389941847
26;0.21360670619168776;0.22936602014871688
25;0.23741325456916712;0.22662330925622526
24;0.2353691119944981;0.2282547164366979
23;0.24587807480621196;0.2649487890163851
22;0.31061359874373;0.2581445940968497
21;0.2658918541908058;0.25951503852808816
20;0.28134328089848804;0.23200339280262514
19;0.24529490784335883;0.2482535136715212
18;0.25851533830778456;0.25148843019560235
17;0.2723286578456313;0.2563215856524434
16;0.2564462332340466;0.24442410368179723
15;0.21773832487327363;0.22261804313425212
14;0.24425842085325433;0.2428926805494488
13;0.24879227429176898;0.23798514458705972
12;0.20245929665778742;0.252217151811445
11;0.24025218858368927;0.2359941332876459
10;0.22591908626770385;0.23407039539047503
9;0.23478801146371836;0.2642994322917446
8;0.2634787158557103;0.23455013581601122
7;0.3001905231894289;0.22629489130173952
6;0.21154621876576876;0.2278299515165072
5;0.3381300866642724;0.2138169568910489
4;0.20807361185110823;0.2280947029318719
3;0.41222974687403696;0.1891438143395928
2;0.25145079893920724;0.22310049257532463
1;0.426083748849588;0.2231570346457461
0;0.14323513872637247;0.2321226496052028
