text;attention
The;0.58904755
main;0.00641434
topic;0.008948634
of;0.005318826
the;0.0052900594
report;0.009457236
mentioned;0.0057402328
in;0.0067870114
the;0.005399237
image;0.0075078737
is;0.007213903
"""Access";0.010783675
to;0.0065829884
Justice;0.022665493
for;0.0069259303
Internally;0.009983152
Displaced;0.046318855
and;0.0070862398
Ethnic;0.009788043
Minority;0.016317515
"Women.""";0.028668774
The;0.0062546562
report;0.006559619
appears;0.0052500637
to;0.0053228014
be;0.0049763373
an;0.005240814
analytical;0.006128272
study;0.005010675
conducted;0.0051763314
in;0.00515388
2015,;0.016634798
focusing;0.005593817
on;0.004992983
the;0.0047626225
challenges;0.005180186
and;0.00447653
issues;0.004812363
faced;0.0050014155
by;0.0051293136
women;0.0071191336
who;0.005336721
are;0.005102718
internally;0.005490977
displaced;0.0054013534
or;0.005282137
belong;0.0047269003
to;0.0046765707
ethnic;0.0044106436
minorities;0.005035782
in;0.0044609136
accessing;0.0047951075
justice.;0.004258101
