;mean;std
31;0.3488245004188144;0.19510011265895233
30;0.30161168854684267;0.16720940182697736
29;0.33192168412625406;0.21151464449174356
28;0.27951345984105325;0.20527964542704194
27;0.37802425429671604;0.1796715536517884
26;0.41602705895754927;0.16827412551770735
25;0.43089173330131647;0.172532982167252
24;0.3770745416560092;0.17287936135188958
23;0.43384630257749734;0.1755395603914219
22;0.44567074237232257;0.18491404602315534
21;0.41496319949938903;0.1683094851374266
20;0.4429583124652097;0.1625896427132103
19;0.37279185277953525;0.17965375369193906
18;0.3704246141431155;0.18394519573482387
17;0.3993008709715778;0.17208260847463483
16;0.3705841202799562;0.18472037543230793
15;0.3158339715088917;0.16521409974983547
14;0.3561449974207739;0.18865868637197752
13;0.3684592622846928;0.19540689625643537
12;0.31868874087018045;0.1988580714027053
11;0.35898593748438634;0.18869448757900342
10;0.34238606275858163;0.1906927738492513
9;0.34221962941548345;0.1882157192580892
8;0.3671980882205174;0.18912619208356213
7;0.3700820177866722;0.17764946697950867
6;0.2882527850513929;0.20447757974764574
5;0.4174351980009351;0.18987194429101426
4;0.3322189292843328;0.20750862898260614
3;0.4776500512564656;0.17081243433743767
2;0.3078556367065916;0.20797520234573288
1;0.4435458795826273;0.18547568857320743
0;0.14966348070321558;0.23492156032423278
