text;attention
No,;0.019352816
there;0.006097826
are;0.0070485673
no;0.008787423
birds;0.008820156
in;0.00690776
the;0.0057024327
image.;0.030351294
The;0.008050714
image;0.00790052
features;0.013762957
a;0.0074232495
man;0.008073077
on;0.0072595016
a;0.006503204
surfboard,;0.030254213
which;0.008340493
is;0.006275511
placed;0.0069547617
on;0.0064501776
a;0.005979766
pole;0.009131482
or;0.0070056487
a;0.0060007586
stick,;0.009191395
and;0.0072303955
he;0.007523224
is;0.0060947766
riding;0.0067717424
it;0.006922386
in;0.0056932378
the;0.0055384645
air.;0.015260585
The;0.008562393
sky;0.0075652953
in;0.0062447125
the;0.005611397
image;0.008289584
is;0.007151362
blue;0.006715621
and;0.0061559365
cloudy,;0.009002316
but;0.00699625
there;0.006270009
are;0.0056390334
no;0.0062413653
birds;0.006575631
visible.;0.011503556
The;0.007350169
focus;0.0072267996
of;0.00620918
the;0.00555346
image;0.0072811246
is;0.007298029
on;0.0072655412
the;0.0059233787
man;0.007302412
and;0.00707305
his;0.006435974
surfboard,;0.011161205
showcasing;0.00999282
his;0.006434578
skill;0.0064550354
and;0.0060625942
balance;0.0063526644
as;0.005846036
he;0.0059336578
performs;0.0060301227
his;0.0054946877
trick.;0.010908492
The;0.008793069
presence;0.006408248
of;0.007039714
a;0.0062274314
surfboard;0.0074712494
and;0.0074274847
a;0.006056161
man;0.0067298845
riding;0.0067124786
it;0.006055327
on;0.005720184
a;0.0053431215
stick;0.005939942
or;0.0061342837
pole;0.005365211
suggests;0.00991961
that;0.0074938876
this;0.0064092884
could;0.0067489
be;0.0059314743
a;0.0061763115
creative;0.006563645
or;0.006021767
artistic;0.0062548714
representation;0.006297919
of;0.006789128
surfing,;0.010056582
or;0.0061077317
perhaps;0.0064758
a;0.0059004473
unique;0.0063111577
form;0.0053154253
of;0.0055780117
entertainment;0.0061752875
or;0.0056093684
advertisement.;0.009533289
The;0.007416981
image;0.006633182
captures;0.0082671475
the;0.0059018135
essence;0.005953957
of;0.006320285
surfing,;0.010946961
highlighting;0.00887947
the;0.0066020247
excitement;0.006325608
and;0.0060251863
thrill;0.0063187936
that;0.0058973306
comes;0.0057078986
with;0.006282065
the;0.0053543765
sport,;0.006591294
as;0.0054615764
well;0.005702769
as;0.005868783
the;0.0058802837
skill;0.005869237
and;0.0055933897
agility;0.0057914765
required;0.0056543555
to;0.0058124824
perform;0.0054102964
such;0.00530352
a;0.0051316214
feat.;0.0052262843
