;mean;std
11;0.2621429968477006;0.19724825464255846
10;0.41889530834188016;0.18835853300262306
9;0.45638235857547815;0.1862647835608003
8;0.2885249085918617;0.2093071783375609
7;0.22052001647993016;0.1963815738047837
6;0.28659306059554973;0.20297868690425558
5;0.3281218772747139;0.18779556014323145
4;0.40711128729949353;0.1683692030650074
3;0.313748315027344;0.20815555271782127
2;0.27055350183388405;0.21972682030993063
1;0.03736646332549582;0.21906537940482748
0;0.6108708093366241;0.14545984347466415
