;mean;std
11;0.29123839410716096;0.19401497579938043
10;0.45677412686042024;0.1860938726043326
9;0.4912141439840409;0.17870064099880248
8;0.3259369139184497;0.20469890101908883
7;0.24304093343067332;0.19041234429848977
6;0.3172462476103446;0.18867191154977092
5;0.36550901802734936;0.18113511750682817
4;0.43994732336212433;0.18067359666934618
3;0.3462933511703333;0.21039792603634738
2;0.2948042117779823;0.21235196887327584
1;0.05663100121434788;0.2164178087180608
0;0.650872634674324;0.13219973926081693
