text;attention
The;0.028456561
prominent;0.027204573
objects;0.034889493
in;0.027391944
the;0.027718816
image;0.027750107
are;0.029496554
a;0.027228097
train;0.02362681
and;0.03165935
a;0.02733883
train;0.02214661
station.;0.121280484
The;0.029849486
train;0.023990057
is;0.030529842
traveling;0.025668943
down;0.02454077
the;0.029273262
tracks,;0.06348958
and;0.03439862
the;0.027650416
train;0.021402135
station;0.026609547
is;0.0285481
situated;0.023721663
next;0.024010986
to;0.024653194
the;0.027045293
tracks.;0.07842986
