text;attention
The;0.01119375
image;0.011230178
features;0.011229347
a;0.011233766
man;0.011200084
and;0.011232591
a;0.011213124
young;0.011197078
boy;0.011200724
sitting;0.011220041
at;0.011215851
a;0.011200095
table,;0.011230322
enjoying;0.011239203
a;0.011218097
meal;0.0112063335
together.;0.011242021
The;0.011254279
man;0.011203573
is;0.011224243
holding;0.011211451
a;0.011212177
doughnut,;0.011262436
while;0.011224056
the;0.011212963
boy;0.011191177
is;0.011225614
holding;0.011216302
a;0.01120117
bagel.;0.011252865
They;0.01122956
are;0.0112242615
both;0.011207548
sitting;0.011233785
at;0.011213021
the;0.011201942
table,;0.011224631
surrounded;0.011216215
by;0.011216669
various;0.011218566
food;0.011222658
items,;0.011247488
including;0.011220116
a;0.011249588
plate;0.0112122055
of;0.011217558
doughnuts,;0.01131026
a;0.011217181
bagel,;0.011241341
and;0.011208663
a;0.011207456
cup;0.011199256
of;0.011199257
coffee.;0.011237788
There;0.011257216
are;0.0112085575
also;0.011214705
a;0.011231047
few;0.011201998
other;0.0112185925
doughnuts;0.011304534
scattered;0.011224725
around;0.011239978
the;0.011230585
table,;0.0112338625
indicating;0.011228572
that;0.011258971
they;0.011233035
are;0.011215149
part;0.01120888
of;0.011209234
the;0.011217904
meal.;0.01125562
The;0.011235329
scene;0.011222313
is;0.011276526
warm;0.0112325335
and;0.011283812
inviting,;0.011362685
showcasing;0.0113290865
a;0.011287143
father;0.011243047
and;0.011346372
son;0.011269189
enjoying;0.011355297
a;0.011291095
casual;0.011286693
meal;0.011325248
together.;0.011288496
