text;attention
There;0.017980028
are;0.018019058
no;0.018000785
birds;0.017986488
or;0.01801651
clouds;0.01807732
visible;0.018053751
in;0.018037582
the;0.01800501
photo;0.017975673
you;0.018000767
provided.;0.01809227
The;0.017984781
image;0.018198445
shows;0.018059224
a;0.0179737
toy;0.018127978
figure;0.018014506
of;0.018006353
a;0.018029097
surfer;0.018111898
on;0.018087108
a;0.018020723
surfboard;0.018193774
against;0.017931744
a;0.017939119
clear;0.018027088
blue;0.017937792
sky.;0.018127322
If;0.01795016
you're;0.018354293
looking;0.023977533
for;0.01800175
a;0.018047556
photo;0.018063555
with;0.018024523
birds;0.018056655
and;0.01805006
clouds,;0.018190127
you;0.018026998
may;0.018000757
want;0.017995179
to;0.018035632
try;0.018001596
a;0.01798291
different;0.01810295
image;0.018145643
or;0.018153168
specify;0.018092258
another;0.018075205
scene;0.018166248
you'd;0.018905569
like;0.018203054
to;0.018063849
see.;0.018316947
