;mean;std
11;0.156976839498817;0.18083737744134756
10;0.3324350663232095;0.18160237390975853
9;0.2466970632833978;0.18556299106310062
8;0.23256654240131494;0.17804026355953886
7;0.2618369359145419;0.1862807474079268
6;0.3314351071930522;0.1906429610852668
5;0.3429575494651211;0.17746086140475342
4;0.34026476390670474;0.18683148586867693
3;0.276425061879774;0.1976814707387274
2;0.4104202898752704;0.16370656984161264
1;0.418375810487439;0.18320284126249872
0;0.5265716973522891;0.17120391738499208
