;mean;std
23;0.02671251404140479;0.26343862820705094
22;0.06691647814531641;0.24080886678673533
21;0.21556536619950148;0.21216189376863234
20;0.3189158215944549;0.1999135607762257
19;0.2855140117349508;0.19715403538785103
18;0.21551147729286077;0.21144355371199042
17;0.20100103461709207;0.21510296755334396
16;0.05467535884818716;0.24698178225332126
15;0.05942469197497715;0.2406287296235579
14;0.06842833123214385;0.2222510921117025
13;0.1547965238875557;0.21399134030699482
12;0.29721267447895044;0.1855003846655081
11;0.2631007251265961;0.18023782704441949
10;0.2029110904419265;0.20088893281948733
9;0.2607306550654796;0.1660113129187394
8;0.13252984561644252;0.19904412122576215
7;0.19040195918562203;0.19080188718542362
6;0.18368473549316974;0.224225465380661
5;0.263184357975568;0.1823322771714969
4;0.27957672943895095;0.17750592819622316
3;0.4059094058017871;0.14309217477792266
2;0.03407843104085641;0.287766377331266
1;-0.1959386093168647;0.2891895732335095
0;0.62904216235597;0.11666130973514861
